ACTUAL_AREA,ACTUAL_WORTH,AREA_EN,INSTANCE_DATE,PROCEDURE_AREA,PROCEDURE_NUMBER,PROCEDURE_YEAR,PROPERTY_TOTAL_VALUE,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN,ROW_STATUS_CODE
759.09,12000000,Al Safouh First,2026-03-24T13:41:16,759.09,1606,2026,12000000,Land,Commercial,COMPLETED
1114.84,12000000,Um Al Sheif,2026-03-15T11:32:23,1114.84,1497,2026,12000000,Land,Residential,COMPLETED
1601.64,12067925,Jumeirah First,2026-03-11T12:17:37,1601.64,1457,2026,12067925,Land,Residential,COMMITTED
7540.78,12175230,Jabal Ali Industrial First,2026-03-09T10:23:15,7540.78,1416,2026,12175230,Land,Industrial,COMPLETED
3924.31,12672264,Wadi Al Safa 3,2026-03-08T12:40:35,3924.31,1410,2026,12672264,Land,Residential,COMPLETED
1189.13,12799676,Um Suqaim Second,2026-03-04T12:57:15,1189.13,1378,2026,12799676,Land,Residential,COMPLETED
1402.74,13000000,Al Warqa First,2026-03-15T12:43:33,1402.74,1503,2026,13000000,Land,,COMPLETED
884.38,14000000,Al Safouh First,2026-03-24T13:27:57,884.38,1605,2026,14000000,Land,Commercial,COMPLETED
1474.37,14282974,Hor Al Anz,2026-03-17T13:59:06,1474.37,1543,2026,14282974,Land,Residential,COMMITTED
2275.77,14697696,Al Mamzer,2026-03-23T10:31:24,2275.77,1568,2026,14697696,Land,General Use,COMPLETED
1393.41,14998526,Al Warqa First,2026-03-31T09:46:07,1393.41,1687,2026,14998526,Land,Commercial,COMPLETED
830.35,15000000,Al Hamriya,2026-03-09T10:00:57,830.35,1415,2026,15000000,Land,Commercial,COMPLETED
371.55,15000000,Al Mararr,2026-03-25T14:20:43,371.55,1628,2026,15000000,Land,Commercial,COMPLETED
1437.71,15475367,Business Bay,2026-03-25T10:05:16,1437.71,1621,2026,15475367,Land,Multi Store Parcking,COMMITTED
2909.41,15658299,Jabal Ali First,2026-03-13T10:14:51,2909.41,1485,2026,15658299,Land,Commercial,COMPLETED
1626.02,15752085,Al Mamzer,2026-03-12T12:31:30,1626.02,1474,2026,15752085,Land,Commercial,COMMITTED
1057.42,15934748,Al Barsha First,2026-03-23T10:49:40,1057.42,1555,2026,15934748,Land,Commercial,COMPLETED
933.21,16071967,Al Muteena,2026-03-26T11:56:25,933.21,1645,2026,16071967,Land,Commercial,COMPLETED
1042.95,16839314,Al Nahda First,2026-03-12T10:42:00,1042.95,1469,2026,16839314,Land,Commercial,COMPLETED
1504.36,17812059,Al Barshaa South Third,2026-03-24T12:27:17,1504.36,1602,2026,17812059,Land,Residential,COMPLETED
899.39,18000000,Jumeirah Third,2026-03-26T08:31:14,899.39,1635,2026,18000000,Land,Residential,COMPLETED
1210.16,18236458,Al Barsha First,2026-03-10T14:21:40,1210.16,1451,2026,18236458,Land,Commercial,COMPLETED
4279.2,18424352,Al Barsha Third,2026-03-25T13:43:48,4279.2,1626,2026,18424352,Land,Residential,COMPLETED
1146.24,18507019,Al Nahda First,2026-03-10T11:17:58,1146.24,1441,2026,18507019,Land,Commercial,COMPLETED
5950.32,19214595,Madinat Hind 3,2026-03-16T11:28:03,5950.32,1516,2026,19214595,Land,Residential,COMPLETED
3593.3,19338961,Ras Al Khor Industrial Second,2026-03-11T12:25:29,3593.3,1459,2026,19338961,Land,Industrial,COMPLETED
594.58,20000000,Jumeirah Third,2026-03-09T14:07:03,594.58,1423,2026,20000000,Land,Residential,COMPLETED
2787.09,20000000,Mirdif,2026-03-09T09:59:27,2787.09,1414,2026,20000000,Land,Residential,COMPLETED
1532.9,20000000,Al Manara,2026-03-15T12:34:10,1532.9,1502,2026,20000000,Land,Residential,COMPLETED
3667.53,20000000,Dubai Investment Park First,2026-03-30T08:36:23,3667.53,1662,2026,20000000,Land,Commercial,COMPLETED
594.58,20000000,Jumeirah Third,2026-03-09T14:09:26,594.58,1424,2026,20000000,Land,Commercial,COMPLETED
1611.5,20815230,Jumeirah First,2026-03-11T22:56:17,1611.5,1462,2026,20815230,Land,Residential,COMPLETED
